control_branch_key,parent_id,repeat,exogenous_key,cohort_task_ids,guard_utility,guard_completed_delta,guard_all_task_completed,guard_on_time_physical,guard_on_time_host,guard_energy_used,guard_accepted_count,guard_rejected_count,guard_task_unavailable_count,guard_submit_count,guard_noop_count_from_actions,guard_env_steps,guard_actor_forward_calls,guard_world_forward_calls,R_utility,R_completed_delta,R_all_task_completed,R_on_time_physical,R_on_time_host,R_energy_used,R_accepted_count,R_rejected_count,R_task_unavailable_count,R_submit_count,R_noop_count_from_actions,R_env_steps,R_actor_forward_calls,R_world_forward_calls,guard_minus_R_utility
parent-00|W1|seed-1101|prefix-0|repeat-0|mode-R,parent-00,0,replan-feature-v1|parent-00|W1|0|repeat-0,task-0|task-1,0.34877868659392175,6,6,2,2,6.195314892089662,5,2,0,10,3,10,10,10,0.34155044743565377,6,6,2,2,6.747812098331252,5,6,5,13,2,13,13,13,0.0072282391582678684
parent-00|W1|seed-1101|prefix-0|repeat-1|mode-R,parent-00,1,replan-feature-v1|parent-00|W1|0|repeat-1,task-0|task-1,0.34877868659392175,6,6,2,2,6.195314892089662,5,2,0,10,3,10,10,10,0.34155044743565377,6,6,2,2,6.747812098331252,5,6,5,13,2,13,13,13,0.0072282391582678684
parent-00|W1|seed-1101|prefix-0|repeat-2|mode-R,parent-00,2,replan-feature-v1|parent-00|W1|0|repeat-2,task-0|task-1,0.34877868659392175,6,6,2,2,6.195314892089662,5,2,0,10,3,10,10,10,0.34155044743565377,6,6,2,2,6.747812098331252,5,6,5,13,2,13,13,13,0.0072282391582678684
parent-01|W1|seed-1101|prefix-0|repeat-0|mode-R,parent-01,0,replan-feature-v1|parent-01|W1|0|repeat-0,task-0|task-1,0.22212137734769372,5,5,2,2,6.582856954680537,7,3,0,12,2,12,12,12,0.21748801802946988,5,5,1,1,6.4122265018163915,5,5,5,13,3,13,13,13,0.00463335931822384
parent-01|W1|seed-1101|prefix-0|repeat-1|mode-R,parent-01,1,replan-feature-v1|parent-01|W1|0|repeat-1,task-0|task-1,0.22632034679433483,5,5,2,2,5.7755014361569685,6,4,0,11,1,11,11,11,0.21748801802946988,5,5,1,1,6.4122265018163915,5,5,4,13,3,13,13,13,0.00883232876486495
parent-01|W1|seed-1101|prefix-0|repeat-2|mode-R,parent-01,2,replan-feature-v1|parent-01|W1|0|repeat-2,task-0|task-1,0.10549746177236133,4,4,2,2,6.5259043268822055,6,3,0,16,7,16,16,16,0.21748801802946988,5,5,1,1,6.4122265018163915,5,5,5,13,3,13,13,13,-0.11199055625710855
parent-02|W1|seed-1101|prefix-0|repeat-0|mode-R,parent-02,0,replan-feature-v1|parent-02|W1|0|repeat-0,task-0|task-1,-0.1292668074795937,2,2,2,2,3.9852953030737694,1,2,0,16,13,16,16,16,-0.1331922848332453,2,2,1,1,4.130438522136174,1,2,2,16,13,16,16,16,0.003925477353651563
parent-02|W1|seed-1101|prefix-0|repeat-1|mode-R,parent-02,1,replan-feature-v1|parent-02|W1|0|repeat-1,task-0|task-1,0.34935675177116754,6,6,2,2,5.731596892623401,5,4,0,11,2,11,11,11,0.21796883658414748,5,5,1,1,5.828763008550617,5,7,5,13,1,13,13,13,0.13138791518702003
parent-02|W1|seed-1101|prefix-0|repeat-2|mode-R,parent-02,2,replan-feature-v1|parent-02|W1|0|repeat-2,task-0|task-1,0.34935675177116754,6,6,2,2,5.731596892623401,5,4,0,11,2,11,11,11,0.21796883658414748,5,5,1,1,5.828763008550617,5,7,5,13,1,13,13,13,0.13138791518702003
parent-03|W1|seed-1101|prefix-0|repeat-0|mode-R,parent-03,0,replan-feature-v1|parent-03|W1|0|repeat-0,task-0|task-1,0.34933137597948094,6,6,2,2,5.86050508706597,6,1,0,10,3,10,10,10,0.3419914755049926,6,6,2,2,6.187051767281538,5,7,5,13,1,13,13,13,0.007339900474488459
parent-03|W1|seed-1101|prefix-0|repeat-1|mode-R,parent-03,1,replan-feature-v1|parent-03|W1|0|repeat-1,task-0|task-1,0.2257367584406134,5,5,2,2,5.7269000131469525,6,1,0,10,3,10,10,10,0.3419914755049926,6,6,2,2,6.187051767281538,5,7,5,13,1,13,13,13,-0.11625471706437915
parent-03|W1|seed-1101|prefix-0|repeat-2|mode-R,parent-03,2,replan-feature-v1|parent-03|W1|0|repeat-2,task-0|task-1,0.34800998392781746,6,6,2,2,6.010505087065969,6,2,0,11,3,11,11,11,0.3419914755049926,6,6,2,2,6.187051767281538,5,7,4,13,1,13,13,13,0.006018508422824975
parent-04|W1|seed-1101|prefix-0|repeat-0|mode-R,parent-04,0,replan-feature-v1|parent-04|W1|0|repeat-0,task-0|task-1,0.3426722549213287,6,6,2,2,6.903870004701275,6,2,0,11,3,11,11,11,0.2188761841228551,5,5,1,1,5.9882413663793415,4,6,4,11,1,11,11,11,0.12379607079847357
